,0,1,2,category,notes
0,21447363,katyperry,katy perry,a,A = artists [musician/actor]
1,27260086,justinbieber,justin bieber,a,P = politician
2,813286,barackobama,barack obama,p,B = business leader
3,79293791,rihanna,rihanna,a,T = athlete
4,17919972,taylorswift13,taylor swift,a,C = company
5,14230524,ladygaga,lady gaga,a,
6,15846407,theellenshow,ellen degeneres,a,
7,10228272,youtube,youtube,c,
8,26565946,jtimberlake,justin timberlake,a,
9,25365536,kimkardashian,kim kardashian west,a,
10,34507480,arianagrande,ariana grande,a,
11,783214,twitter,twitter,c,
12,21111883,ddlovato,demi lovato,a,
13,23375688,selenagomez,selena gomez,a,
14,16409683,britneyspears,britney spears,a,
15,25073877,realdonaldtrump,donald j. trump,p,
16,428333,cnnbrk,cnn breaking news,c,
17,44409004,shakira,shakira ðŸ¤«,a,
18,15485441,jimmyfallon,jimmy fallon,a,
19,50393960,billgates,bill gates,b,
20,18839785,narendramodi,narendra modi,p,
21,85603854,jlo,jennifer lopez,a,
22,100220864,brunomars,bruno mars,a,
23,807095,nytimes,the new york times,c,
24,19397785,oprah,oprah winfrey,a,
25,23083404,kingjames,lebron james,t,
26,759251,cnn,cnn,c,
27,268414482,mileycyrus,miley ray cyrus,a,
28,105119490,niallofficial,niall horan,a,
29,5402612,bbcbreaking,bbc breaking news,c,
30,27195114,drake,drizzy,a,
31,101311381,iamsrk,shah rukh khan,a,
32,145125358,srbachchan,amitabh bachchan,a,
33,26257166,sportscenter,sportscenter,c,
34,132385468,beingsalmankhan,salman khan,a,
35,23151437,kevinhart4real,kevin hart,a,
36,116362700,liltunechi,lil wayne weezy f,a,
37,2557521,espn,espn,c,
38,20322929,wizkhalifa,wiz khalifa,a,
39,84279963,louis_tomlinson,louis tomlinson,a,
40,181561712,harry_styles,harry styles.,a,
41,158314798,liampayne,liam,a,
42,28706024,pink,p!nk,a,
43,209708391,onedirection,one direction,a,
44,35094637,aliciakeys,alicia keys,a,
45,60865434,kaka,kaka,t,
46,11348282,nasa,nasa,c,
47,119509520,chrisbrown,chris brown,a,
48,96951800,fcbarcelona,fc barcelona,t,
49,166739404,emmawatson,emma watson,a,
50,115485051,conanobrien,conan o'brien,a,
51,169686021,kanyewest,ye,a,
52,31348594,akshaykumar,akshay kumar,a,
53,184910040,adele,adele,a,
54,176566242,zaynmalik,zayn,a,
55,19923144,nba,nba,t,
56,135421739,sachin_rt,sachin tendulkar,t,
57,471741741,pmoindia,pmo india,p,
58,90420314,actuallynph,neil patrick harris,a,
59,71201743,imvkohli,virat kohli,t,
60,157140968,kendalljenner,kendall,a,
61,31927467,pitbull,pitbull,a,
62,25521487,danieltosh,daniel tosh,a,
63,32959253,khloekardashian,khloÃ©,a,
64,236699098,kyliejenner,kylie jenner,a,
65,101695592,deepikapadukone,deepika padukone,a,
66,113419517,ihrithik,hrithik roshan,a,
67,822215679726100480,potus,president trump,p,
68,19426551,nfl,nfl,t,
69,18863815,coldplay,coldplay,a,
70,742143,bbcworld,bbc news (world),c,
71,88856792,aamir_khan,aamir khan,a,
72,23617610,kourtneykardash,kourtney kardashian,a,
73,90836187,andresiniesta8,andrÃ©s iniesta,t,
74,1339835893,hillaryclinton,hillary clinton,p,
75,18681139,priyankachopra,priyanka,a,
76,5988062,theeconomist,the economist,c,
77,44196397,elonmusk,elon musk,b,
78,22940219,eminem,marshall mathers,a,
79,17471979,natgeo,national geographic,c,
80,627673190,championsleague,uefa champions league,t,
81,73992972,avrillavigne,avril lavigne,a,
82,35787166,nickiminaj,queen,a,
83,14920785,blakeshelton,blake shelton,a,
84,19895282,arrahman,a.r.rahman,a,
85,19248106,mariahcarey,mariah carey,a,
86,20536157,google,boo-gle ðŸŽƒ,c,
87,40255499,ricky_martin,ricky martin,a,
88,379408088,shawnmendes,shawn mendes,a,
89,1652541,reuters,reuters top news,c,
90,85452649,edsheeran,ed sheeran,a,
91,242245578,dr_alqarnee,Ø¯. Ø¹Ø§Ø¦Ø¶ Ø§Ù„Ù‚Ø±Ù†ÙŠ,p,